id,constituency,state,party,first_votes,second_votes
286,Schwarzwald-Baar,Baden-Württemberg,fdp,16747,19692
287,Konstanz,Baden-Württemberg,fdp,17047,23509
288,Waldshut,Baden-Württemberg,fdp,10186,18356
289,Reutlingen,Baden-Württemberg,fdp,20411,25288
290,Tübingen,Baden-Württemberg,fdp,15060,22678
291,Ulm,Baden-Württemberg,fdp,19745,25385
292,Biberach,Baden-Württemberg,fdp,12987,19093
293,Bodensee,Baden-Württemberg,fdp,16751,21610
294,Ravensburg,Baden-Württemberg,fdp,20932,21738
295,Zollernalb – Sigmaringen,Baden-Württemberg,fdp,18682,23201
296,Saarbrücken,Saarland,fdp,11647,16437
297,Saarlouis,Saarland,fdp,12777,18871
298,St. Wendel,Saarland,fdp,11355,14915
299,Homburg,Saarland,fdp,11015,15716
1,Flensburg – Schleswig,Schleswig-Holstein,gruene,50231,33299
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,gruene,20615,22595
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,gruene,16685,19241
4,Rendsburg-Eckernförde,Schleswig-Holstein,gruene,23831,28828
5,Kiel,Schleswig-Holstein,gruene,43560,44124
6,Plön – Neumünster,Schleswig-Holstein,gruene,20739,23052
7,Pinneberg,Schleswig-Holstein,gruene,31750,33917
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,gruene,27109,33361
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,gruene,19027,22315
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,gruene,33953,32475
11,Lübeck,Schleswig-Holstein,gruene,25882,27112
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,gruene,12034,12375
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,gruene,8163,10146
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,gruene,16556,20942
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,gruene,12197,14654
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,gruene,6112,6619
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,gruene,7585,7186
18,Hamburg-Mitte,Hamburg,gruene,46288,49767
19,Hamburg-Altona,Hamburg,gruene,44897,46023
20,Hamburg-Eimsbüttel,Hamburg,gruene,47778,48004
21,Hamburg-Nord,Hamburg,gruene,47288,46482
22,Hamburg-Wandsbek,Hamburg,gruene,26597,32127
23,Hamburg-Bergedorf – Harburg,Hamburg,gruene,24221,27885
24,Aurich – Emden,Niedersachsen,gruene,12649,17657
25,Unterems,Niedersachsen,gruene,16434,18578
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,gruene,13504,17020
27,Oldenburg – Ammerland,Niedersachsen,gruene,35115,40916
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,gruene,21200,23965
29,Cuxhaven – Stade II,Niedersachsen,gruene,15388,17553
30,Stade I – Rotenburg II,Niedersachsen,gruene,19925,22092
31,Mittelems,Niedersachsen,gruene,22561,22512
32,Cloppenburg – Vechta,Niedersachsen,gruene,17366,18093
33,Diepholz – Nienburg I,Niedersachsen,gruene,19702,21138
34,Osterholz – Verden,Niedersachsen,gruene,21922,24171
35,Rotenburg I – Heidekreis,Niedersachsen,gruene,10035,16856
36,Harburg,Niedersachsen,gruene,24120,26776
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,gruene,34605,30578
38,Osnabrück-Land,Niedersachsen,gruene,22011,22159
39,Stadt Osnabrück,Niedersachsen,gruene,34136,34542
40,Nienburg II – Schaumburg,Niedersachsen,gruene,18096,19968
41,Stadt Hannover I,Niedersachsen,gruene,27860,30360
42,Stadt Hannover II,Niedersachsen,gruene,37779,41976
43,Hannover-Land I,Niedersachsen,gruene,22487,26217
44,Celle – Uelzen,Niedersachsen,gruene,18770,21880
45,Gifhorn – Peine,Niedersachsen,gruene,15761,21955
46,Hameln-Pyrmont – Holzminden,Niedersachsen,gruene,13259,17274
47,Hannover-Land II,Niedersachsen,gruene,22284,29201
48,Hildesheim,Niedersachsen,gruene,22973,26565
49,Salzgitter – Wolfenbüttel,Niedersachsen,gruene,15349,18133
50,Braunschweig,Niedersachsen,gruene,28214,33397
51,Helmstedt – Wolfsburg,Niedersachsen,gruene,11305,15481
52,Goslar – Northeim – Osterode,Niedersachsen,gruene,14955,17116
53,Göttingen,Niedersachsen,gruene,37058,32447
54,Bremen I,Bremen,gruene,39704,44297
55,Bremen II – Bremerhaven,Bremen,gruene,20700,23869
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,gruene,5623,7677
57,Uckermark – Barnim I,Brandenburg,gruene,7526,9094
58,Oberhavel – Havelland II,Brandenburg,gruene,19025,20660
59,Märkisch-Oderland – Barnim II,Brandenburg,gruene,11741,13954
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,gruene,9474,12205
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,gruene,35452,35863
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,gruene,13523,16160
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,gruene,8868,9995
64,Cottbus – Spree-Neiße,Brandenburg,gruene,4662,6939
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,gruene,4110,4920
66,Altmark,Sachsen-Anhalt,gruene,4674,5834
67,Börde – Jerichower Land,Sachsen-Anhalt,gruene,6184,7268
68,Harz,Sachsen-Anhalt,gruene,6321,7495
69,Magdeburg,Sachsen-Anhalt,gruene,14383,16352
70,Dessau – Wittenberg,Sachsen-Anhalt,gruene,7632,6531
71,Anhalt,Sachsen-Anhalt,gruene,4587,5470
72,Halle,Sachsen-Anhalt,gruene,12520,19914
73,Burgenland – Saalekreis,Sachsen-Anhalt,gruene,4206,5000
74,Mansfeld,Sachsen-Anhalt,gruene,3820,4834
75,Berlin-Mitte,Berlin,gruene,45870,46120
76,Berlin-Pankow,Berlin,gruene,46357,48098
77,Berlin-Reinickendorf,Berlin,gruene,17600,19525
78,Berlin-Spandau – Charlottenburg Nord,Berlin,gruene,14683,17926
79,Berlin-Steglitz-Zehlendorf,Berlin,gruene,38895,39567
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,gruene,37371,40297
81,Berlin-Tempelhof-Schöneberg,Berlin,gruene,44032,44189
82,Berlin-Neukölln,Berlin,gruene,27103,31057
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,gruene,64404,62676
84,Berlin-Treptow-Köpenick,Berlin,gruene,16143,25150
85,Berlin-Marzahn-Hellersdorf,Berlin,gruene,8301,11464
86,Berlin-Lichtenberg,Berlin,gruene,19467,22099
87,Aachen I,Nordrhein-Westfalen,gruene,41942,40421
88,Aachen II,Nordrhein-Westfalen,gruene,19973,19916
89,Heinsberg,Nordrhein-Westfalen,gruene,15368,16861
90,Düren,Nordrhein-Westfalen,gruene,14174,16951
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,gruene,25408,27564
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,gruene,25005,26165
93,Köln I,Nordrhein-Westfalen,gruene,33405,33501
94,Köln II,Nordrhein-Westfalen,gruene,70657,65240
95,Köln III,Nordrhein-Westfalen,gruene,43600,44407
96,Bonn,Nordrhein-Westfalen,gruene,46467,50175
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,gruene,26270,29305
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,gruene,26955,31027
99,Oberbergischer Kreis,Nordrhein-Westfalen,gruene,19015,19959
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,gruene,31607,32302
101,Leverkusen – Köln IV,Nordrhein-Westfalen,gruene,17290,29329
102,Wuppertal I,Nordrhein-Westfalen,gruene,18932,25387
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,gruene,20967,24294
104,Mettmann I,Nordrhein-Westfalen,gruene,36095,25430
105,Mettmann II,Nordrhein-Westfalen,gruene,17728,18112
106,Düsseldorf I,Nordrhein-Westfalen,gruene,36929,39451
107,Düsseldorf II,Nordrhein-Westfalen,gruene,30201,31524
108,Neuss I,Nordrhein-Westfalen,gruene,18050,21951
109,Mönchengladbach,Nordrhein-Westfalen,gruene,17302,18166
110,Krefeld I – Neuss II,Nordrhein-Westfalen,gruene,24382,24013
111,Viersen,Nordrhein-Westfalen,gruene,24394,25671
112,Kleve,Nordrhein-Westfalen,gruene,23476,23587
113,Wesel I,Nordrhein-Westfalen,gruene,19928,20629
114,Krefeld II – Wesel II,Nordrhein-Westfalen,gruene,17398,19539
115,Duisburg I,Nordrhein-Westfalen,gruene,16776,17912
116,Duisburg II,Nordrhein-Westfalen,gruene,10518,10287
117,Oberhausen – Wesel III,Nordrhein-Westfalen,gruene,17169,17945
118,Mülheim – Essen I,Nordrhein-Westfalen,gruene,19547,20232
119,Essen II,Nordrhein-Westfalen,gruene,12647,13971
120,Essen III,Nordrhein-Westfalen,gruene,28741,30772
121,Recklinghausen I,Nordrhein-Westfalen,gruene,12833,15180
122,Recklinghausen II,Nordrhein-Westfalen,gruene,14836,15629
123,Gelsenkirchen,Nordrhein-Westfalen,gruene,11286,11170
124,Steinfurt I – Borken I,Nordrhein-Westfalen,gruene,18743,20525
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,gruene,15152,16433
126,Borken II,Nordrhein-Westfalen,gruene,20027,21738
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,gruene,27069,25507
128,Steinfurt III,Nordrhein-Westfalen,gruene,23978,23996
129,Münster,Nordrhein-Westfalen,gruene,63160,60036
130,Warendorf,Nordrhein-Westfalen,gruene,21215,23296
131,Gütersloh I,Nordrhein-Westfalen,gruene,22850,28308
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,gruene,40012,40175
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,gruene,18088,22732
134,Minden-Lübbecke I,Nordrhein-Westfalen,gruene,15885,19762
135,Lippe I,Nordrhein-Westfalen,gruene,26907,23252
136,Höxter – Lippe II,Nordrhein-Westfalen,gruene,12685,14715
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,gruene,22926,26982
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,gruene,17953,17242
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,gruene,21734,21941
140,Bochum I,Nordrhein-Westfalen,gruene,28284,30771
141,Herne – Bochum II,Nordrhein-Westfalen,gruene,14243,15383
142,Dortmund I,Nordrhein-Westfalen,gruene,26308,31867
143,Dortmund II,Nordrhein-Westfalen,gruene,21028,21714
144,Unna I,Nordrhein-Westfalen,gruene,20340,20019
145,Hamm – Unna II,Nordrhein-Westfalen,gruene,16959,19149
146,Soest,Nordrhein-Westfalen,gruene,22154,24089
147,Hochsauerlandkreis,Nordrhein-Westfalen,gruene,12478,15473
148,Siegen-Wittgenstein,Nordrhein-Westfalen,gruene,16623,17834
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,gruene,13645,15243
150,Märkischer Kreis II,Nordrhein-Westfalen,gruene,12867,14882
151,Nordsachsen,Sachsen,gruene,5883,5462
152,Leipzig I,Sachsen,gruene,19776,25843
153,Leipzig II,Sachsen,gruene,32994,38259
154,Leipzig-Land,Sachsen,gruene,8054,9381
155,Meißen,Sachsen,gruene,7589,8872
156,Bautzen I,Sachsen,gruene,4089,6247
157,Görlitz,Sachsen,gruene,6167,7345
158,Sächsische Schweiz-Osterzgebirge,Sachsen,gruene,6830,8024
159,Dresden I,Sachsen,gruene,17135,27367
160,Dresden II – Bautzen II,Sachsen,gruene,25522,31260
161,Mittelsachsen,Sachsen,gruene,5396,6819
162,Chemnitz,Sachsen,gruene,9934,12680
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,gruene,5617,6138
164,Erzgebirgskreis I,Sachsen,gruene,4001,5194
165,Zwickau,Sachsen,gruene,5987,7134
166,Vogtlandkreis,Sachsen,gruene,6379,6263
167,Waldeck,Hessen,gruene,13581,14772
168,Kassel,Hessen,gruene,27753,30358
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,gruene,8032,11595
170,Schwalm-Eder,Hessen,gruene,12360,14089
171,Marburg,Hessen,gruene,18708,22347
172,Lahn-Dill,Hessen,gruene,13763,16957
173,Gießen,Hessen,gruene,21204,26051
174,Fulda,Hessen,gruene,13832,16323
175,Main-Kinzig – Wetterau II – Schotten,Hessen,gruene,12692,15008
176,Hochtaunus,Hessen,gruene,21770,22487
177,Wetterau I,Hessen,gruene,18987,21916
178,Rheingau-Taunus – Limburg,Hessen,gruene,24418,25329
179,Wiesbaden,Hessen,gruene,25811,26817
180,Hanau,Hessen,gruene,15994,18274
181,Main-Taunus,Hessen,gruene,26350,26747
182,Frankfurt am Main I,Hessen,gruene,26922,33821
183,Frankfurt am Main II,Hessen,gruene,50230,44370
184,Groß-Gerau,Hessen,gruene,14890,18928
185,Offenbach,Hessen,gruene,26229,27053
186,Darmstadt,Hessen,gruene,44364,41958
187,Odenwald,Hessen,gruene,21631,24697
188,Bergstraße,Hessen,gruene,20954,21458
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,gruene,5901,7176
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,gruene,5429,7456
191,Jena – Sömmerda – Weimarer Land I,Thüringen,gruene,14654,16709
192,Gotha – Ilm-Kreis,Thüringen,gruene,6497,8105
193,Erfurt – Weimar – Weimarer Land II,Thüringen,gruene,19474,21829
194,Gera – Greiz – Altenburger Land,Thüringen,gruene,6297,7328
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,gruene,6293,7387
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,gruene,3614,7228
197,Neuwied,Rheinland-Pfalz,gruene,16559,18930
198,Ahrweiler,Rheinland-Pfalz,gruene,15554,17687
199,Koblenz,Rheinland-Pfalz,gruene,17980,21007
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,gruene,12833,12230
201,Kreuznach,Rheinland-Pfalz,gruene,9958,12903
202,Bitburg,Rheinland-Pfalz,gruene,8507,11396
203,Trier,Rheinland-Pfalz,gruene,18917,22695
204,Montabaur,Rheinland-Pfalz,gruene,14240,16880
205,Mainz,Rheinland-Pfalz,gruene,37390,46284
206,Worms,Rheinland-Pfalz,gruene,15949,20799
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,gruene,17061,18128
208,Neustadt – Speyer,Rheinland-Pfalz,gruene,20868,23949
209,Kaiserslautern,Rheinland-Pfalz,gruene,14579,17611
210,Pirmasens,Rheinland-Pfalz,gruene,7866,9852
211,Südpfalz,Rheinland-Pfalz,gruene,19061,22881
212,Altötting,Bayern,gruene,11145,12247
213,Erding – Ebersberg,Bayern,gruene,24838,24620
214,Freising,Bayern,gruene,24059,26055
215,Fürstenfeldbruck,Bayern,gruene,25364,30537
216,Ingolstadt,Bayern,gruene,18183,20840
217,München-Nord,Bayern,gruene,42281,44860
218,München-Ost,Bayern,gruene,42363,47635
219,München-Süd,Bayern,gruene,47253,45559
220,München-West/Mitte,Bayern,gruene,53156,54293
221,München-Land,Bayern,gruene,40468,36807
222,Rosenheim,Bayern,gruene,26181,25960
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,gruene,20829,18057
224,Starnberg – Landsberg am Lech,Bayern,gruene,35851,32676
225,Traunstein,Bayern,gruene,17216,19980
226,Weilheim,Bayern,gruene,16300,18397
227,Deggendorf,Bayern,gruene,6890,8516
228,Landshut,Bayern,gruene,21812,20085
229,Passau,Bayern,gruene,12097,12644
230,Rottal-Inn,Bayern,gruene,10188,9495
231,Straubing,Bayern,gruene,8614,8964
232,Amberg,Bayern,gruene,13906,16188
233,Regensburg,Bayern,gruene,30332,32093
234,Schwandorf,Bayern,gruene,7933,11179
235,Weiden,Bayern,gruene,6634,9171
236,Bamberg,Bayern,gruene,22728,21898
237,Bayreuth,Bayern,gruene,14062,15646
238,Coburg,Bayern,gruene,10580,11458
239,Hof,Bayern,gruene,7943,9630
240,Kulmbach,Bayern,gruene,10165,11966
241,Ansbach,Bayern,gruene,21343,22327
242,Erlangen,Bayern,gruene,29885,31184
243,Fürth,Bayern,gruene,27108,29775
244,Nürnberg-Nord,Bayern,gruene,32540,34047
245,Nürnberg-Süd,Bayern,gruene,15557,17674
246,Roth,Bayern,gruene,25140,26196
247,Aschaffenburg,Bayern,gruene,19585,20639
248,Bad Kissingen,Bayern,gruene,16467,15873
249,Main-Spessart,Bayern,gruene,15813,17806
250,Schweinfurt,Bayern,gruene,14747,17083
251,Würzburg,Bayern,gruene,36295,35624
252,Augsburg-Stadt,Bayern,gruene,31347,28971
253,Augsburg-Land,Bayern,gruene,24805,26207
254,Donau-Ries,Bayern,gruene,11076,14912
255,Neu-Ulm,Bayern,gruene,20632,20770
256,Oberallgäu,Bayern,gruene,27818,27389
257,Ostallgäu,Bayern,gruene,24124,23709
258,Stuttgart I,Baden-Württemberg,gruene,62594,44556
259,Stuttgart II,Baden-Württemberg,gruene,31444,28218
260,Böblingen,Baden-Württemberg,gruene,30210,32594
261,Esslingen,Baden-Württemberg,gruene,24058,23902
262,Nürtingen,Baden-Württemberg,gruene,29609,27688
263,Göppingen,Baden-Württemberg,gruene,15932,16915
264,Waiblingen,Baden-Württemberg,gruene,26224,27098
265,Ludwigsburg,Baden-Württemberg,gruene,34660,31432
266,Neckar-Zaber,Baden-Württemberg,gruene,29014,29048
267,Heilbronn,Baden-Württemberg,gruene,23018,23476
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,gruene,25825,22734
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,gruene,15529,18490
270,Aalen – Heidenheim,Baden-Württemberg,gruene,20338,21204
271,Karlsruhe-Stadt,Baden-Württemberg,gruene,47472,44011
272,Karlsruhe-Land,Baden-Württemberg,gruene,27755,26969
273,Rastatt,Baden-Württemberg,gruene,19962,21926
274,Heidelberg,Baden-Württemberg,gruene,53288,45314
275,Mannheim,Baden-Württemberg,gruene,31721,29809
276,Odenwald – Tauber,Baden-Württemberg,gruene,17695,17747
277,Rhein-Neckar,Baden-Württemberg,gruene,22607,23973
278,Bruchsal – Schwetzingen,Baden-Württemberg,gruene,22154,20858
279,Pforzheim,Baden-Württemberg,gruene,20679,21213
280,Calw,Baden-Württemberg,gruene,17713,17302
281,Freiburg,Baden-Württemberg,gruene,51777,56861
282,Lörrach – Müllheim,Baden-Württemberg,gruene,35557,32818
283,Emmendingen – Lahr,Baden-Württemberg,gruene,23345,28723
284,Offenburg,Baden-Württemberg,gruene,21719,23082
285,Rottweil – Tuttlingen,Baden-Württemberg,gruene,18182,16036
286,Schwarzwald-Baar,Baden-Württemberg,gruene,14692,16181
287,Konstanz,Baden-Württemberg,gruene,28142,32913
288,Waldshut,Baden-Württemberg,gruene,20590,23206
289,Reutlingen,Baden-Württemberg,gruene,25399,24197
290,Tübingen,Baden-Württemberg,gruene,40979,37424
291,Ulm,Baden-Württemberg,gruene,33010,31237
292,Biberach,Baden-Württemberg,gruene,17854,18006
293,Bodensee,Baden-Württemberg,gruene,23384,23635
294,Ravensburg,Baden-Württemberg,gruene,30745,25538
295,Zollernalb – Sigmaringen,Baden-Württemberg,gruene,23118,15503
296,Saarbrücken,Saarland,gruene,11141,
297,Saarlouis,Saarland,gruene,7381,
298,St. Wendel,Saarland,gruene,5734,
299,Homburg,Saarland,gruene,6824,
1,Flensburg – Schleswig,Schleswig-Holstein,linke,6539,7473
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,linke,4059,4439
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,linke,4339,4524
4,Rendsburg-Eckernförde,Schleswig-Holstein,linke,4415,5163
5,Kiel,Schleswig-Holstein,linke,7316,9448
6,Plön – Neumünster,Schleswig-Holstein,linke,3718,4233
7,Pinneberg,Schleswig-Holstein,linke,5602,6292
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,linke,6205,6468
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,linke,4122,4031
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,linke,5167,6328
11,Lübeck,Schleswig-Holstein,linke,3709,5360
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,linke,17877,16552
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,linke,14949,14973
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,linke,29714,21490
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,linke,22767,18856
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,linke,16200,15367
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,linke,14498,14437
18,Hamburg-Mitte,Hamburg,linke,16168,15586
19,Hamburg-Altona,Hamburg,linke,14656,13617
20,Hamburg-Eimsbüttel,Hamburg,linke,11360,10862
21,Hamburg-Nord,Hamburg,linke,9073,8734
22,Hamburg-Wandsbek,Hamburg,linke,10669,8847
23,Hamburg-Bergedorf – Harburg,Hamburg,linke,10501,9874
24,Aurich – Emden,Niedersachsen,linke,4849,4654
25,Unterems,Niedersachsen,linke,4358,4650
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,linke,3460,4122
27,Oldenburg – Ammerland,Niedersachsen,linke,10180,8343
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,linke,4931,5046
29,Cuxhaven – Stade II,Niedersachsen,linke,2694,3672
30,Stade I – Rotenburg II,Niedersachsen,linke,4339,4301
31,Mittelems,Niedersachsen,linke,3996,3969
32,Cloppenburg – Vechta,Niedersachsen,linke,3542,3549
33,Diepholz – Nienburg I,Niedersachsen,linke,4029,3920
34,Osterholz – Verden,Niedersachsen,linke,6372,5252
35,Rotenburg I – Heidekreis,Niedersachsen,linke,3010,3536
36,Harburg,Niedersachsen,linke,4230,4684
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,linke,5379,6329
38,Osnabrück-Land,Niedersachsen,linke,3596,3870
39,Stadt Osnabrück,Niedersachsen,linke,6977,6224
40,Nienburg II – Schaumburg,Niedersachsen,linke,3070,3841
41,Stadt Hannover I,Niedersachsen,linke,4660,5768
42,Stadt Hannover II,Niedersachsen,linke,7390,8831
43,Hannover-Land I,Niedersachsen,linke,3981,4504
44,Celle – Uelzen,Niedersachsen,linke,4358,4679
45,Gifhorn – Peine,Niedersachsen,linke,3619,4146
46,Hameln-Pyrmont – Holzminden,Niedersachsen,linke,3676,3734
47,Hannover-Land II,Niedersachsen,linke,4095,4994
48,Hildesheim,Niedersachsen,linke,5481,5308
49,Salzgitter – Wolfenbüttel,Niedersachsen,linke,5676,4446
50,Braunschweig,Niedersachsen,linke,5352,6354
51,Helmstedt – Wolfsburg,Niedersachsen,linke,3575,3496
52,Goslar – Northeim – Osterode,Niedersachsen,linke,3833,4249
53,Göttingen,Niedersachsen,linke,8057,8131
54,Bremen I,Bremen,linke,15321,15765
55,Bremen II – Bremerhaven,Bremen,linke,10523,9524
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,linke,10846,9754
57,Uckermark – Barnim I,Brandenburg,linke,12314,11616
58,Oberhavel – Havelland II,Brandenburg,linke,15501,12665
59,Märkisch-Oderland – Barnim II,Brandenburg,linke,21698,18004
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,linke,12672,12015
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,linke,14702,19100
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,linke,17421,14961
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,linke,15682,13431
64,Cottbus – Spree-Neiße,Brandenburg,linke,11156,9671
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,linke,10631,8532
66,Altmark,Sachsen-Anhalt,linke,11218,10380
67,Börde – Jerichower Land,Sachsen-Anhalt,linke,12795,12426
68,Harz,Sachsen-Anhalt,linke,14410,12697
69,Magdeburg,Sachsen-Anhalt,linke,15136,16447
70,Dessau – Wittenberg,Sachsen-Anhalt,linke,9003,9635
71,Anhalt,Sachsen-Anhalt,linke,20246,14249
72,Halle,Sachsen-Anhalt,linke,19247,17180
73,Burgenland – Saalekreis,Sachsen-Anhalt,linke,12418,10630
74,Mansfeld,Sachsen-Anhalt,linke,13108,11680
75,Berlin-Mitte,Berlin,linke,21291,20820
76,Berlin-Pankow,Berlin,linke,29506,25158
77,Berlin-Reinickendorf,Berlin,linke,6099,5834
78,Berlin-Spandau – Charlottenburg Nord,Berlin,linke,6823,6325
79,Berlin-Steglitz-Zehlendorf,Berlin,linke,7461,8296
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,linke,8816,9944
81,Berlin-Tempelhof-Schöneberg,Berlin,linke,10685,13172
82,Berlin-Neukölln,Berlin,linke,17898,16335
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,linke,30128,30843
84,Berlin-Treptow-Köpenick,Berlin,linke,55372,24883
85,Berlin-Marzahn-Hellersdorf,Berlin,linke,29259,21213
86,Berlin-Lichtenberg,Berlin,linke,36790,26063
87,Aachen I,Nordrhein-Westfalen,linke,6161,7453
88,Aachen II,Nordrhein-Westfalen,linke,4495,5260
89,Heinsberg,Nordrhein-Westfalen,linke,3608,4529
90,Düren,Nordrhein-Westfalen,linke,3457,4570
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,linke,5889,5682
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,linke,4992,5734
93,Köln I,Nordrhein-Westfalen,linke,7213,8267
94,Köln II,Nordrhein-Westfalen,linke,8771,10399
95,Köln III,Nordrhein-Westfalen,linke,8435,9903
96,Bonn,Nordrhein-Westfalen,linke,6675,10027
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,linke,6242,6353
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,linke,4607,5687
99,Oberbergischer Kreis,Nordrhein-Westfalen,linke,4587,5153
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,linke,4848,5211
101,Leverkusen – Köln IV,Nordrhein-Westfalen,linke,5657,7318
102,Wuppertal I,Nordrhein-Westfalen,linke,6742,8055
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,linke,5099,6086
104,Mettmann I,Nordrhein-Westfalen,linke,4252,4956
105,Mettmann II,Nordrhein-Westfalen,linke,3394,3888
106,Düsseldorf I,Nordrhein-Westfalen,linke,5094,6744
107,Düsseldorf II,Nordrhein-Westfalen,linke,5418,6931
108,Neuss I,Nordrhein-Westfalen,linke,4152,4770
109,Mönchengladbach,Nordrhein-Westfalen,linke,,4927
110,Krefeld I – Neuss II,Nordrhein-Westfalen,linke,4319,4680
111,Viersen,Nordrhein-Westfalen,linke,5558,5203
112,Kleve,Nordrhein-Westfalen,linke,4235,4728
113,Wesel I,Nordrhein-Westfalen,linke,4598,5103
114,Krefeld II – Wesel II,Nordrhein-Westfalen,linke,4100,4703
115,Duisburg I,Nordrhein-Westfalen,linke,5499,5580
116,Duisburg II,Nordrhein-Westfalen,linke,4889,4508
117,Oberhausen – Wesel III,Nordrhein-Westfalen,linke,4904,5613
118,Mülheim – Essen I,Nordrhein-Westfalen,linke,3663,4494
